"field_name","field_description"
"\"ExcitationFilters\",\"List of the possible optical filters to use on the excitation source. Output is in the form: {wavelength,..}.\""
"\"ExcitationLaserPowers\",\"For each member of ExcitationLaserWavelengths, the power output of the laser.\""
"\"ExcitationLaserWavelengths\",\"Light-emitting diode sources available to the instrument. The first quantity is the Center Wavelength, which is the midpoint between the wavelengths where transmittance is 50% (known as Full Width at Half Maximum (FWHM)). The second quantity is the bandwidth or the FWHM of the light source.\""
"\"ExcitationPolarizers\",\"List of the possible optical polarizations to use on the excitation source for polarized light.\""
"\"ExcitationSourceType\",\"Specifies whether the instrument lamp provides continuous light or if it is flashed at time of acquisition.\""
"\"ExcitationSource\",\"The light source available to excite and probe the sample in the fluorescence detector.\""
"\"ExcitationSource\",\"The light source available to excite and probe the sample.\""
"\"ExcitationSource\",\"The light sources available to excite and probe the sample.\""
"\"ExcitationWavelengthResolution\",\"The resolution available in selecting the excitation wavelength, if is tunable.\""
"\"ExcitationWavelength\",\"The wavelength at which the instrument can excite the sample.\""
"\"ExperimentType\",\"The experiment this cartridge is designed to perform.\""
"\"ExperimentTypes\",\"Indicates the types of X-ray experiments that may be performed on this instrument.\""
"\"ExpirationHazard\",\"Indicates if samples of this model become hazardous once they are expired and therefore must be automatically disposed of when they pass their expiration date.\""
"\"Expires\",\"Indicates if containers of this model expire after a given amount of time.\""
"\"Expires\",\"Indicates if items of this model expire after a given amount of time.\""
"\"Expires\",\"Indicates if parts of this model type expire over time.\""
"\"Expires\",\"Indicates if samples of this model expire after a given amount of time.\""
"\"ExternalDimensions\",\"The external dimensions of this model of plate cover.\""
"\"ExtinctionCoefficients\",\"A measure of how strongly this sample absorbs light at a particular wavelength.\""
"\"ExtinctionCoefficients\",\"Denotes how strongly each monomer or a pair of monomers absorbs a particular wavelength of light per sample path length.\""
"\"ExtinctionCoefficients\",\"Denotes how strongly the modification absorbs a particular wavelength of light per sample path length.\""
"\"EyePieceMagnification\",\"The magnification provided by the eyepiece.\""
"\"FacilityRequirementFiles\",\"PDFs for facility requirements and pre-installation checkoff forms provided by the supplier for instruments of this model.\""
"\"FeedScale\",\"The balance used to weigh the sample during the experiment.\""
"\"FiberInnerDiameter\",\"The diameter of the filter tubes that make up the entire filter module.\""
"\"FiberLength\",\"The length of the SPME fiber.\""
"\"FiberMaterial\",\"The material from which the active phase of the SPME fiber has been made.\""
"\"FiberThickness\",\"The diameter of the SPME fiber.\""
"\"FieldOfView\",\"The size of the surface area that is observable at any given moment by the camera used by the Foam Imaging Module.\""
"\"FillToVolumeMethod\",\"The method by which to add the Solvent to the bring the stock solution up to the TotalVolume.\""
"\"FillToVolumeSolvent\",\"The solvent to use to dilute the components up to the requested TotalVolume.\""
"\"FilmThickness\",\"The thickness of the liquid stationary phase film in a capillary GC column.\""
"\"FilterMaterial\",\"The material through which the stock solution is filtered following component combination, filling to volume with solvent, mixing, and/or pH titration.\""
"\"FilterSize\",\"The size of the membrane pores through which the stock solution is filtered following component combination, filling to volume with solvent, mixing, and/or pH titration.\""
"\"FilterSurfaceArea\",\"The total amount of membrane area that is available for filtering.\""
"\"FilterType\",\"The classification of the filter type based on the configuration of the membrane.\""
"\"FilterType\",\"The housing format of the given filter.\""
"\"Filtered\",\"Indicates whether the pipette tips have built-in filters to prevent aerosol contamination.\""
"\"FixedAmounts\",\"The pre-measured amounts in which samples of this model are always stored.\""
"\"Flammable\",\"Indicates if a pure sample of this molecule is easily set aflame at room temperature and pressure.\""
"\"Flammable\",\"Indicates if items of this model are easily set aflame under standard conditions.\""
"\"Flammable\",\"Indicates if samples of this model are easily set aflame under standard conditions.\""
"\"Flammable\",\"Indicates if this storage condition is meant to contain samples that are easily set aflame under standard conditions.\""
"\"FlangeHeight\",\"The distance from the bottom of the plate to the top surface of the flange protruding from the plate wall around the bottom perimeter of the plate.\""
"\"FlangeWidth\",\"The distance from the wall of the plate to the exterior side surface of the flange protruding from the plate wall around the bottom perimeter of the plate.\""
"\"FlatWidth\",\"The width of the dialysis membrane tube when it is lying flat. This equivalent to half the circumference of the tube.\""
"\"FlowCellMaxPressure\",\"The maximum pressure the detector's flow cell can tolerate.\""
"\"FlowCellPathLength\",\"The distance that light from the lamp travels through the liquid sample prior to hitting the detector. By taking the logarithm of the ratio between the radiant power of light before and after it travels through the sample, we get the absorbance which is proportional to the path length and the concentration of the sample by Beer's law.\""
"\"FlowCellPathLength\",\"The pathlength of instrument's detector's flow cell.\""
"\"FlowCellPathLength\",\"The pathlength of the instrument's detector flow cell.\""
"\"FlowCellVolume\",\"The volume of the chamber in the instrument through which separated sample flows as it is exposed to the detector.\""
"\"FlowCellVolume\",\"The volume of the instrument's detector's flow cell.\""
"\"FlowMeter\",\"Whether or not a flow meter is connected to the hood.\""
"\"FlowRatePrecision\",\"The standard deviation of the volume of liquid nitrogen that is dispensed per unit of time.\""
"\"FlowRate\",\"The recommended face velocity at the sash opening to ensure vapors do not escape.\""
"\"FlowRate\",\"The volume of liquid nitrogen that is dispensed per unit of time.\""
"\"FluidCategory\",\"Type of fluids that can be used with this plumbing component.\""
"\"FluidVolume\",\"Amount of heat transfer fluid needed to fill the pump.\""
"\"FluorescenceDetector\",\"The apparatus used for measuring emission intensity in the multimode spectrophotometer.\""
"\"FluorescenceEmissionMaximums\",\"For each member of FluorescenceExcitationMaximums, the corresponding highest peak of the fluorescent moiety's emission spectrum.\""
"\"FluorescenceEmissionWavelengths\",\"For each member of ImagingChannels, the wavelength at which the fluorescence emission of the sample should be imaged.\""
"\"FluorescenceExcitationMaximums\",\"The wavelengths corresponding to the highest peak of each Fluorescent moiety's excitation spectrum.\""
"\"FluorescenceExcitationWavelengths\",\"For each member of ImagingChannels, the wavelength that should be used to illuminate the sample.\""
"\"FluorescenceFilters\",\"The fluorescence filters available, based on the compatible optic modules for this instrument.\""
"\"FluorescenceFlowCellPathLength\",\"The pathlength of the instrument's fluorescence detector flow cell.\""
"\"FluorescenceFlowCellVolume\",\"The volume of the instrument's fluorescence detector's flow cell.\""
"\"FluorescenceLabelingTarget\",\"The types of molecules that cause fluorescence enhancement upon binding to this fluorophore.\""
"\"FluorescenceWavelengths\",\"Indicates the laser wavelengths available on the instrument for fluorescence excitation.\""
"\"Fluorescent\",\"Indicates if this molecule can re-emit light upon excitation.\""
"\"Footprint\",\"Standard form factor of the exterior bottom portion of this model of container used to seat the container in an open position.\""
"\"Footprint\",\"Standard form factor of the exterior bottom portion of this model of item used to seat the item in an open position.\""
"\"Footprint\",\"Standard form factor of the exterior bottom portion of this model of part used to seat the part in an open position.\""
"\"Format\",\"Format of labware the vortex can mix.\""
"\"Formula\",\"Describes the desired final concentrations or amounts of each component of this solution.\""
"\"FractionCollectionDetectors\",\"The detectors of the instrument for which the detector hardware can communicate with the fraction collection.\""
"\"Fuming\",\"Indicates if pure samples of this molecule emit fumes spontaneously when exposed to air.\""
"\"Fuming\",\"Indicates if samples of this model emit fumes spontaneously when exposed to air.\""
"\"FunctionalGroup\",\"The functional group displayed on the cartridge's stationary phase.\""
"\"FunctionalGroup\",\"The functional group displayed on the column's stationary phase.\""
"\"GCInjectionType\",\"The GC sampling method with which this syringe is compatible.\""
"\"GasType\",\"The type of gas used in the degasser.\""
"\"Gauge\",\"A number assigned to the needle indicating its outer diameter, inner diameter and wall thickness.\""
"\"GelLength\",\"The physical distance on this gel available for samples to travel in the direction of electrophoresis.\""
"\"GelMaterial\",\"The polymer material that the gel is composed of.\""
"\"GelPercentage\",\"The total polymer weight percentage of the gel.\""
"\"GlassWool\",\"Indicates whether the liner is packed with glass wool for trapping non-volatiles injected into the liner.\""
"\"GloveBoxIncompatible\",\"Indicates if samples of this model cannot be used inside of the glove box due high volatility and/or detrimental reactivity with the catalyst in the glove box that is used to remove traces of water and oxygen. Sulfur and sulfur compounds (such as H2S, RSH, COS, SO2, SO3), halides, halogen (Freon), alcohols, hydrazine, phosphene, arsine, arsenate, mercury, and saturation with water may deactivate the catalyst.\""
"\"GloveBoxStorage\",\"Indiciates that this model of instrument permanently resides in the glove box.\""
"\"Grade\",\"The purity of this model, encapsulating a set of purity standards for specific uses.\""
"\"GradientTemperatureRange\",\"The minimum and maximum temperatures that can be used to set the span of gradients.\""
"\"Graduations\",\"The markings on this container model used to indicate the fluid's fill level.\""
"\"Graduations\",\"The markings on this cylinder model used to indicate the fluid's fill level.\""
"\"GripperDiameter\",\"The maximum diameter of the shaker clamp's mouth, which will fit over the neck of glassware or outer diameter of tubing.\""
"\"HEPAFilteredDrying\",\"Indicates if the washer is capable of HEPA filtered drying.\""
"\"HairpinLoopEnergyFunction\",\"For loop sizes not in HairpinLoopEnergy, a function that takes in as input the loop size and returns the Gibbs free energy contribution due to nucleotide separation resulting in a loop of a particular size in a single-stranded oligomer at STP (37C,1ATM).\""
"\"HairpinLoopEnergy\",\"The Gibbs free energy contribution due to nucleotide separation resulting in a loop of a particular size in a single-stranded oligomer at STP (37C,1ATM)}.\""
"\"HazardCategories\",\"Hazards to be aware of during operation of instruments of this model.\""
"\"HeatBlock\",\"The heat block used for thawing samples during the thaw step of freeze-pump-thaw.\""
"\"Hermetic\",\"Indicates if this container has an airtight seal at its aperture.\""
"\"HighContentImaging\",\"Indicates if the instrument is capable of performing high-throughput phenotypic screening of live cells.\""
"\"HighVacuumPump\",\"The high pressure vacuum pump alternative that connects into the vacuum line in the Schlenk line.\""
"\"HorizontalMargin\",\"Distance from the left edge of the plate to the edge of the first well.\""
"\"HorizontalOffset\",\"Distance between the center of well A1 and well B1 in the X direction.\""
"\"HorizontalOffset\",\"Distance between the center of well A1 and well B1.\""
"\"HorizontalPitch\",\"Center-to-center distance from one well to the next in a given row.\""
"\"HumidityControl\",\"Indicates if the microscope is fitted with a chamber that maintains humidity to prevent evaporation while imaging.\""
"\"Humidity\",\"The humidity at which samples with this storage condition are kept when not in use by any experiment.\""
"\"HyperchromicityCorrections\",\"For each member of Wavelengths, the correction factor to the extinction coefficient for each fraction of the duplex sequence of the given base pair, in the form: {Base Pair->Correction Factor..}.\""
"\"ID\",\"ID of this Object.\""
"\"IUPAC\",\"International Union of Pure and Applied Chemistry (IUPAC) name for this molecule.\""
"\"IlluminationTypes\",\"For each member of Modes, the source of illumination available to image samples on the microscope.\""
"\"Illumination\",\"The directions from which the imager can illuminate samples.\""
"\"ImageCorrectionMethods\",\"Indicates the correction methods that can be applied to the acquired images by this instrument model. BackgroundCorrection removes stray light that is unrelated to light that reaches the sample. ShadingCorrection mitigates the uneven illumination of the sample that is visible around the edges of the image.\""
"\"ImageDeconvolution\",\"Indicates if this instrument model is fitted with a deconvolution algorithm that can be used to enhance contrast, improve image resolution, and sharpen the image.\""
"\"ImageFileScale\",\"The scale relating pixels of ImageFile to real world distance.\""
"\"ImageFile\",\"A photo of this model of container.\""
"\"ImageFile\",\"A photo of this model of plumbing component.\""
"\"ImageFile\",\"An example photo of this model of instrument.\""
"\"ImageFile\",\"An example photo of this model of part.\""
"\"ImageScalesX\",\"For each member of ObjectiveMagnifications, indicates the size of each pixel in X direction (Width) of an unbinned image acquired by this instrument.\""
"\"ImageScalesY\",\"For each member of ObjectiveMagnifications, indicates the size of each pixel in Y direction (Length) of an unbinned image acquired by this instrument.\""
"\"ImageScales\",\"The scale in pixels/centimeter relating pixels of the image to real world distance for the output data of this instrument.\""
"\"ImageSizeX\",\"Indicates the size of field of view in X direction (Width) of an unbinned image acquired by this instrument.\""
"\"ImageSizeY\",\"Indicates the size of field of view in Y direction (Length) of an unbinned image acquired by this instrument.\""
"\"ImagingChannels\",\"Indicates the fluorescence imaging channels available for this model of microscope.\""
"\"InChIKey\",\"The hashed version of the International Chemical Identifer (InChI) that uniquely identifies this molecule.\""
"\"InChI\",\"The International Chemical Identifer (InChI) that uniquely identifies this molecule.\""
"\"IncompatibleMaterials\",\"A list of materials that would be damaged if wetted by this model.\""
"\"IncompatibleMaterials\",\"A list of materials that would be damaged if wetted by this molecule.\""
"\"IncubatableContainers\",\"Container models that can be placed in this model of incubator.\""
"\"IndependentChannelResolution\",\"The smallest volume interval which can be handled by each independent pipetting channel.\""
"\"IndependentChannels\",\"Number of channels for robotic pipetting that can be moved independently along the vertical axis and one horizontal axis.\""
"\"InitialEnergyCorrection\",\"The initial energy adjustment when calculating the Gibbs free energy of binding between two oligomer strands by the nearest neighbor method at STP (37C,1ATM).\""
"\"InitialEnthalpyCorrection\",\"The initial enthalpy adjustment when calculating the enthalpy of binding between two oligomer strands by the nearest neighbor method.\""
"\"InitialEntropyCorrection\",\"The initial entropy adjustment when calculating the entropy of binding between two oligomer strands by the nearest neighbor method.\""
"\"InitialMass\",\"The mass adjustment given to the oligomer to correct the differences in the atoms attached at the start (N terminus for peptides and 3'-end for DNA/RNA/PNA) of the strand after accounting for all of the internal subunits.\""
"\"InitialMolecule\",\"The molecule attached at the start (N terminus for peptides and 3'-end for DNA/RNA/PNA) of the strand after accounting for all of the internal subunits.\""
"\"InjectionValveLength\",\"The length of the injection valve in the direction parallel to column and solid sample cartridge mounting.\""
"\"InjectionVolumes\",\"The possible volumes of sample that can be injected into the measurement chip.\""
"\"InjectorDeadVolume\",\"The volume of the tube between the injector syringe and the injector nozzle. This volume is required to fill the injector tube and cannot be injected into wells.\""
"\"InjectorType\",\"The technique by which the sample is injected. The FlowThroughNeedle injector is typically less prone to carryover and only the sample drawn is injected. The inside of the needle is washed with the gradient. In contrast, FixedLoop injectors transport the sample into a sample loop from which it gets sandwiched by air gaps and wash solution and then injected. The interior and the exterior of the needle needs to be washed with solvent to avoid contamination.\""
"\"InjectorVolume\",\"The volume of the injector used to add liquid to the plate.\""
"\"InletConnectionType\",\"The type of fitting needed to plumb the flow system into the filter.\""
"\"InletFilterPoreSize\",\"The size of the pores in the inlet filter through which the sample must travel before reaching the stationary phase.\""
"\"InletFritted\",\"Specifies if the gas inlet tube is equipped with a piece of porous (fritted) glass the end of the tube. The fritted glass filters the gas before it goes into the solution contained within the GasWashingBottle.\""
"\"InletPorosity\",\"Specifies pore size of the gas inlet tube fritted end.\""
"\"InletRetentateConnectionType\",\"The type of fitting needed to plumb the feed into the filter.\""
"\"Inlets\",\"Inlets that can be installed on this instrument. SplitSplitless inlets can flash vaporize a sample and force it either totally (splitless) or partially (split) onto the column for analysis, while the Multimode inlet allows for solvent venting with multiple injections, prior to a temperature programmed vaporization of the sample, pushing it onto the column in either split or splitless mode. OnlineGasSampling/OnlineLiquidSampling inlets can inject a sample loop containing gas/liquid into the inlet and onto the column.\""
"\"InnerDiameter\",\"The diameter of the hollow, fluid-containing portion of this plumbing component.\""
"\"InnerDiameter\",\"The diameter of the opening in the O-ring in its natural circular shape.\""
"\"InnerDiameter\",\"The diameter of the opening inside of the needle.\""
"\"InnerDiameter\",\"The inner diameter of the cylindrical, fluid-containing portion of this syringe.\""
"\"InnerDiameter\",\"The inside diameter of the inlet liner tube.\""
"\"InstrumentSchematics\",\"Detailed drawings of all the available containers of the same type in ECL that explain its capabilities and limitations.\""
"\"InstrumentSchematics\",\"Detailed drawings of the instrument that explain its capabilities and limitations.\""
"\"InstrumentsManufactured\",\"Instruments manufactured by this supplier.\""
"\"IntegratedEluentGenerator\",\"A cartridge that automatically generates eluent in the flow path of Ion Chromatography instrument through electrolysis of water.\""
"\"IntegratedInstruments\",\"The instrument models that are integrated into this liquid handler.\""
"\"IntendedAnalyte\",\"The types of species that may interact directly with the probe surface. Note that it some cases the probe surface may be modified to target a different set of analytes.\""
"\"InternalBottomShape\",\"Shape of the bottom of the vessel's contents holding cavity.\""
"\"InternalConicalDepth\",\"Height of the conical section of the vessel's contents holding cavity.\""
"\"InternalDepth\",\"Maximum interior depth of the cuvette's contents holding cavity.\""
"\"InternalDepth\",\"The distance from the aperture to the bottom of vessel's contents-holding cavity.\""
"\"InternalDiameter3D\",\"A list of the internal diameter of the container over the entire height of the container.\""
"\"InternalDiameter\",\"Interior diameter of the vessel's contents holding cavity.\""
"\"InternalDiameter\",\"The internal diameter of the column.\""
"\"InternalDimensions\",\"Interior dimensions of the cuvette's contents holding cavity.\""
"\"InternalDimensions\",\"Interior size of the vessel's contents holding cavity.\""
"\"InternalDimensions\",\"The dimensions of the space inside the liquid nitrogen dewar in the form of: {X Direction (Width),Y Direction (Depth),Z Direction (Height)}.\""
"\"InternalDimensions\",\"The internal dimensions of this model of plate cover.\""
"\"InternalDimensions\",\"The measurements of the internal chamber of the autoclave in the  {X (left-to-right), Y (back-to-front), Z (bottonm-to-top)} directions.\""
"\"InternalDimensions\",\"The size of one tray.\""
"\"InternalDimensions\",\"The size of space inside the device reservoir.\""
"\"InternalDimensions\",\"The size of space inside the sonicator reservoir.\""
"\"InternalDimensions\",\"The size of the space inside the Biosafety cabinet.\""
"\"InternalDimensions\",\"The size of the space inside the balance.\""
"\"InternalDimensions\",\"The size of the space inside the controlled rate freezer.\""
"\"InternalDimensions\",\"The size of the space inside the cryogenic freezer.\""
"\"InternalDimensions\",\"The size of the space inside the darkroom.\""
"\"InternalDimensions\",\"The size of the space inside the dishwasher.\""
"\"InternalDimensions\",\"The size of the space inside the freezer.\""
"\"InternalDimensions\",\"The size of the space inside the fume hood.\""
"\"InternalDimensions\",\"The size of the space inside the heat block.\""
"\"InternalDimensions\",\"The size of the space inside the incubator.\""
"\"InternalDimensions\",\"The size of the space inside the liquid handler.\""
"\"InternalDimensions\",\"The size of the space inside the microwave.\""
"\"InternalDimensions\",\"The size of the space inside the roller.\""
"\"InternalDimensions\",\"The size of the space inside the shaker.\""
"\"InternalLoopEnergyFunction\",\"For loop sizes not in InternalLoopEnergy, a function that takes in as input the loop size and returns the Gibbs free energy contribution due to nucleotide separation of a particular size in the middle of a double-stranded oligomer at STP (37C,1ATM).\""
"\"InternalLoopEnergy\",\"The Gibbs free energy contribution due to nucleotide separation of a particular size in the middle of a double-stranded oligomer at STP (37C,1ATM).\""
"\"Inventories\",\"The inventory objects responsible for keeping this stock solution in stock.\""
"\"IonModes\",\"The possible detection modes for ions (in Negative mode, negatively charged ions and in Positive mode, positively charged ions are generated and analyzed).\""
"\"IonSources\",\"The type of ionization source used to generate gas phase ions from the molecules in the sample. Electrospray ionization (ESI) produces ions using an electrospray in which a high voltage is applied to a liquid to create an aerosol, and gas phase ions are formed from the fine spray of charged droplets as a result of solvent evaporation and Coulomb fission. In matrix-assisted laser desorption/ionization (MALDI), the sample is embedded in a laser energy absorbing matrix which is then irradiated with a pulsed laser, ablating and desorbing the molecules with minimal fragmentation and creating gas phase ions from the analyte molecules in the sample.\""
"\"IonSources\",\"The type of ionization source used to generate gas phase ions from the molecules in the sample. Electrospray ionization (ESI) produces ions using an electrospray in which a high voltage is applied to a liquid to create an aerosol, and gas phase ions are formed from the fine spray of charged droplets as a result of solvent evaporation and Coulomb fission.\""
"\"Jacketed\",\"Indicates whether this column has a double-walled glass column suitable for use in controlling the temperature of the sample.\""
"\"KineticsRegeneration\",\"Indicates if the probe can be regenerated to perform multiple successive kinetics measurements. AnalyteDependent indicates that probe regeneration depends on the species which is associated to the probe surface, and that any assays using regeneration should be user validated. Regeneration returns the probe surface to the original condition.\""
"\"Kinetics\",\"Contains the various hybridization and strand exchange parameters. Some parameters are given as constants while others are expressed as functions of properties of the strand such as its length.\""
"\"KitProductsContainers\",\"Products ordering information for this filter plate container with its supplied storage buffer solution as part of one or more kits.\""
"\"KitProducts\",\"Products ordering information for this model if this model is part of one or more kits.\""
"\"LabwareVerifications\",\"The qualification in which the Hamilton labware definition of this labware is verified.\""
"\"LambdaMax\",\"Denotes the wavelength of the maximum absorbance value.\""
"\"LaminarFlow\",\"Laminar flow velocity of the cabinet.\""
"\"LampType\",\"Type of lamp that the instrument uses as a light source.\""
"\"LampType\",\"Type of optical source that the thermocycler uses to assess test samples.\""
"\"LampTypes\",\"Indicates the sources of illumination available to the microscope.\""
"\"LaserFrequency\",\"The shot frequency of the laser used for desorption/ionization.\""
"\"LaserModeResolution\",\"The resolution(s) (in RPMs) for a given range (in RPMs) of the laser sensor tachometer.\""
"\"LaserPower\",\"Power of the laser used for desorption/ionization.\""
"\"LaserPulseWidth\",\"Duration of each laser pulse used for desorption/ionization.\""
"\"LaserWavelength\",\"The fixed wavelength of the excitation beam, which is equivilant to the Rayleigh back-scattering.\""
"\"LaserWavelength\",\"Wavelength of the laser used for desorption/ionization.\""
"\"LeakTestFlowRate\",\"The flow rate at which the instrument should pump buffer through the system during system prime and flush leak tests.\""
"\"LensFilters\",\"List of available emission filters in the form: {wavelength, bandpass}.\""
"\"LidThickness\",\"Thickness of the lid material covering the opening portion of the container.\""
"\"LightScatteringFlowCellVolume\",\"The volume of the instrument's Multi-Angle static Light Scattering (MALS) and Dynamic Light Scattering (DLS) detector's flow cell.\""
"\"LightScatteringSource\",\"The light source available to illuminate the sample in the Multi-Angle static Light Scattering (MALS) and Dynamic Light Scattering (DLS) detector.\""
"\"LightScatteringWavelength\",\"The laser wavelength of the LightScatteringSource in the Multi-Angle static Light Scattering (MALS) and Dynamic Light Scattering (DLS) detector.\""
"\"LightSensitive\",\"Determines if the sample reacts or degrades in the presence of light and should be stored in the dark to avoid exposure.\""
"\"LightSourceType\",\"Specifies whether the instrument lamp provides continuous light or if it is flashed at time of acquisition.\""
"\"LightSourceWavelength\",\"The wavelength at which the light source of the instrument emits light.\""
"\"LightSource\",\"The light sources available to probe the sample.\""
"\"LightSources\",\"Available light sources for illumination of the darkroom.\""
"\"LinearAbsorbanceRange\",\"The manufacturer reported linear absorbance range of this model of instrument.\""
"\"LinearAbsorbanceRange\",\"The reliable linear 10 mm-equivalent absorbance range of this model of instrument.\""
"\"LinerGeometry\",\"Indicates the internal shape of the inlet liner, which may be tapered at one or both ends, or contain baffling to aid static mixing during injection.\""
"\"LinerLength\",\"The length of the inlet liner tube.\""
"\"LiquidHandlerIncompatible\",\"Indicates if this model sample cannot be reliably aspirated or dispensed on an automated liquid handling robot.\""
"\"LiquidHandlerType\",\"The type of function that this liquid handler is capable of performing.\""
"\"LiquidNitrogenCapacity\",\"The maximum volume of liquid nitrogen that the dewar can be filled with.\""
"\"LiquidNitrogenCapacity\",\"The maximum volume of liquid nitrogen that the freezer can be filled with.\""
"\"LiteratureReferences\",\"Publications containing references to the derivation of the parameters stored in this model.\""
"\"LocalCacheContents\",\"Items required to be present in the local cache for instruments of this model, along with the required quantity of each item.\""
"\"LowPowerElements\",\"List of elements where the plasma power is recommended to set to Low during experiment.\""
"\"LowVacuumPump\",\"The low pressure vacuum pump alternative that connects into the vacuum line in the Schlenk line.\""
"\"LuminescenceDetector\",\"The type of wavelength selection available for luminescence measurement.\""
"\"LuminescenceFilterTypes\",\"The types of wavelength selection available for luminescence measurement.\""
"\"MALSDetectorAngles\",\"The angles with regards to the incident light beam at which the MALS detection photodiodes are mounted around the flow cell inside the Multi-Angle static Light Scattering (MALS) detector.\""
"\"MALSDetector\",\"The type of Multi-Angle static Light Scattering light detector available to measure the scattered light intensity in the Multi-Angle static Light Scattering (MALS) detector.\""
"\"MSDSFile\",\"PDF of the models MSDS (Materials Saftey Data Sheet).\""
"\"MSDSFile\",\"The PDF of the MSDS (Materials Saftey Data Sheet) of this molecule.\""
"\"MSDSRequired\",\"Indicates if an MSDS is applicable for this model.\""
"\"MSDSRequired\",\"Indicates if an MSDS is required for this molecule.\""
"\"MagnetStrength\",\"The strength of the magnet used in this model of NMR to obtain spectra.\""
"\"Magnetized\",\"Indicates if this rack has a built-in magnet that will separate out any magnetic particles in the sample when the sample is placed in the rack.\""
"\"MaintenanceFrequency\",\"A list of the maintenance models and their required frequencies.\""
"\"MaintenanceFrequency\",\"A list of the maintenance models for this part model and their required frequencies.\""
"\"MaintenanceFrequency\",\"A list of the maintenance protocols which should be run on instruments of this model and their required frequencies.\""
"\"MaintenanceFrequency\",\"The model maintenances and their required frequencies.\""
"\"MaintenanceLog\",\"List of all the maintenances that target this container and are not an unlisted protocol.\""
"\"ManufacturerBalanceResolution\",\"The smallest magnitude between values of weight the instrument is capable of reporting as described by the instrument manufacturer in its product documentation.\""
"\"ManufacturerCalibrantOsmolalities\",\"For each member of ManufacturerCalibrants, the osmolality of the solution.\""
"\"ManufacturerCalibrants\",\"The solutions of known osmolality used by the instrument to determine the function to convert from raw measurement to osmolality.\""
"\"ManufacturerCleaningSolution\",\"The solution used to remove debris from the thermocouple head.\""
"\"ManufacturerConductivityResolution\",\"The smallest change in conductivity that corresponds to a change in displayed value.\""
"\"ManufacturerContactModeUncertainty\",\"The uncertainty of the tachometer sensor reading when in contact mode according to the manufacturer specifications. Here uncertainty is specifed as a percentage, varying with the magnitude of the reading.\""
"\"ManufacturerDensityRepeatability\",\"The variation in density measurements taken under the same repeated conditions as reported by the manufacturer.\""
"\"ManufacturerLaserModeUncertainty\",\"The uncertainty of the tachometer sensor reading when in laser mode according to the manufacturer specifications. Here uncertainty is specifed as a percentage, varying with the magnitude of the reading.\""
"\"ManufacturerOsmolalityAccuracyScoped\",\"The deviation of an osmolality measurement performed by the instrument from its true value, described by values at various points over the instrument measurement range. For accuracy that is constant over the measurement range, see ManufacturerOsmolalityAccuracy.\""
"\"ManufacturerOsmolalityRepeatability\",\"The variability in osmolality measurements performed by the instrument, described as a constant value over the instrument measurement range. For repeatability that is variable over the measurement range, see ManufacturerOsmolalityRepeatabilityScoped.\""
"\"ManufacturerOsmolalityResolution\",\"The minimum change in sample osmolality that leads to a change in the displayed value, described as a constant value over the instrument measurement range. For resolution that is variable over the measurement range, see ManufacturerOsmolalityResolutionScoped.\""
"\"ManufacturerPrecision\",\"The amount a set of surface tension measurements deviates from the mean when measured by the instrument as described by the instrument manufacturer in its product documentation.\""
"\"ManufacturerRepeatability\",\"The variation in measurements taken under the same conditions as reported by the manufacturer.\""
"\"ManufacturerRepeatability\",\"This is the model of dispenser's ability to show consistent results under the same conditions acording to the manufacturer.\""
"\"ManufacturerReproducibility\",\"The variation between distinct density measurements taken under the same conditions as reported by the manufacturer.\""
"\"ManufacturerResolution\",\"The smallest magnitude between values of surface tension the instrument is capable of reporting as described by the instrument manufacturer in its product documentation.\""
"\"ManufacturerSurfaceModeUncertainty\",\"The uncertainty of the tachometer sensor reading when in surface mode according to the manufacturer specifications. Here uncertainty is specifed as a percentage, varying with the magnitude of the reading.\""
"\"ManufacturerTemperatureRepeatability\",\"The variation in temperature measurements taken under the same repeated conditions as reported by the manufacturer.\""
"\"ManufacturerTemperatureResolution\",\"The smallest change in temperature that corresponds to a change in displayed value.\""
"\"Manufacturer\",\"The company that originally manufactured this model of instrument.\""
"\"MassAnalyzer\",\"The type of the component of the mass spectrometer that performs ion separation based on mass-to-charge (m/z) ratio. SingleQuadrupole selects single ions for detection.\""
"\"MassAnalyzer\",\"The type of the component of the mass spectrometer that performs ion separation based on mass-to-charge (m/z) ratio. The type of the component of the mass spectrometer that performs ion separation based on mass-to-charge (m/z) ratio. Time of flight (TOF) analyzers accelerate and resolve ions\n\t\t\tusing an applied electrical field, thereby resolving ions by their flight path (a function of m/z). QTOF (quantitative time of flight) mass analyzer can perform two accelerations and also measure ion fragments.\""
"\"Mass\",\"The mass of the modification within the context of the larger oligomer chain.\""
"\"MaterialDimensions\",\"The actual dimensions of this material in it's unpackaged form.\""
"\"Material\",\"The material that the pipette tips are made out of.\""
"\"Material\",\"The material that the weight is made out of.\""
"\"MaxAbsorbanceWavelength\",\"The Maximum wavelength that the absorbance detector can measure.\""
"\"MaxAbsorbanceWavelength\",\"The Maximum wavelength that the absorbance detector can monitor.\""
"\"MaxAbsorbanceWavelength\",\"The maximum wavelength at which the instrument can take absorbance readings.\""
"\"MaxAbsorbanceWavelength\",\"The maximum wavelength of light from which the instrument's detector can measure an absorbance value.\""
